z_mm,max_rotmag_deg_inscribed
-25,0
-24,0
-23,0
-22,0
-21,0.46875
-20,0.9375
-19,1.40625
-18,1.875
-17,2.34375
-16,2.8125
-15,3.28125
-14,3.75
-13,4.21875
-12,4.6875
-11,5.15625
-10,5.39062
-9,5.85938
-8,6.32812
-7,6.79688
-6,7.26562
-5,7.96875
-4,8.4375
-3,8.90625
-2,9.375
-1,9.84375
0,10.3125
1,10.7812
2,11.25
3,11.7188
4,12.1875
5,12.6562
6,13.125
7,13.8281
8,14.2969
9,14.7656
10,15.2344
11,15.7031
12,16.1719
13,16.875
14,17.3438
15,17.8125
16,18.2812
17,18.75
18,19.4531
19,19.9219
20,20.3906
21,20.8594
22,21.5625
23,22.0312
24,22.5
25,23.2031
